arm,split,scenario_seed,arm_cost,core_cost,delta
no_reassign,test_id,14682654361486538457,13592.041666666666,13252.625,339.41666666666606
no_reassign,test_id,14720592292926469478,12740.375,12414.583333333334,325.79166666666606
no_reassign,test_id,14775705014730917309,14014.333333333334,13864.625,149.70833333333394
no_reassign,test_id,14919415739396664361,12978.291666666666,13003.958333333334,-25.66666666666788
no_reassign,test_id,15011517576733594677,13281.833333333334,13275.5,6.33333333333394
no_reassign,test_id,15017328118574222559,12725.166666666666,12782.583333333334,-57.41666666666788
no_reassign,test_id,15044494062139883725,13238.125,13205.583333333334,32.54166666666606
no_reassign,test_id,15150049485556435085,13720.125,13711.916666666666,8.20833333333394
no_reassign,test_id,15372241390168799290,13055.208333333334,12849.375,205.83333333333394
no_reassign,test_id,16079587671393789139,12291.916666666666,11993.208333333334,298.7083333333321
no_reassign,test_id,16142060021053616442,12967.75,12937.5,30.25
no_reassign,test_id,16524740160914888458,12752.041666666666,12601.208333333334,150.83333333333212
no_reassign,test_id,16678850068187185217,13112.166666666666,13104.875,7.29166666666606
no_reassign,test_id,16797112964869241354,13288.083333333334,13432.958333333334,-144.875
no_reassign,test_id,16861548176449520959,12348.208333333334,12238.625,109.58333333333394
no_reassign,test_id,16956089326594344293,12418.125,12370.791666666666,47.33333333333394
no_reassign,test_id,17149326288559423870,12946.416666666666,12941.666666666666,4.75
no_reassign,test_id,17348805811785892568,12397.125,12358.375,38.75
no_reassign,test_id,17556866886819120548,13594.333333333334,13632.041666666666,-37.70833333333212
no_reassign,test_id,17577011195639199337,13704.458333333334,13248.541666666666,455.9166666666679
no_reassign,test_id,17734756093143325151,12710.041666666666,12664.416666666666,45.625
